Clase,Orden,Familia,Especie
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Aves,Pelecaniformes,Threskiornithidae,"Plegadis ridgwayi"
Aves,Passeriformes,Tyrannidae,"Elaenia albiceps"
Aves,Strigiformes,Strigidae,"Glaucidium peruanum"
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus gerrhopygus"
Aves,Passeriformes,Thraupidae,"Catamenia analis"
Aves,Passeriformes,Tyrannidae,"Anairetes reguloides"
Aves,Columbiformes,Columbidae,"Metriopelia ceciliae"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Aves,Passeriformes,Thraupidae,"Incaspiza pulchra"
Aves,Apodiformes,Trochilidae,"Myrtis fanny"
Aves,Passeriformes,Thraupidae,"Saltator striatipectus"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Passeriformes,Tyrannidae,"Myiophobus fasciatus"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Aves,Passeriformes,Parulidae,"Geothlypis aequinoctialis"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Aves,Accipitriformes,Pandionidae,"Pandion haliaetus"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Aves,Piciformes,Picidae,"Colaptes atricollis"
Aves,Passeriformes,Thraupidae,"Rauenia bonariensis"
Aves,Pelecaniformes,Ardeidae,"Egretta caerulea"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Aves,Apodiformes,Apodidae,"Chaetura pelagica"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Aves,Passeriformes,Icteridae,"Dives warczewiczi"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Aves,Apodiformes,Apodidae,"Aeronautes andecolus"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Aves,Coraciiformes,Alcedinidae,"Chloroceryle americana"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Aves,Passeriformes,Tyrannidae,"Anairetes flavirostris"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Aves,Psittaciformes,Psittacidae,"Psilopsiagon aurifrons"
Aves,Passeriformes,Tyrannidae,"Camptostoma obsoletum"
Aves,Caprimulgiformes,Caprimulgidae,"Chordeiles acutipennis"
Aves,Gruiformes,Rallidae,"Pardirallus sanguinolentus"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Aves,Passeriformes,Thraupidae,"Sporophila telasco"
Aves,Podicipediformes,Podicipedidae,"Rollandia rolland"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Aves,Gruiformes,Rallidae,"Fulica ardesiaca"
Aves,Passeriformes,Tyrannidae,"Serpophaga cinerea"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Charadriiformes,Charadriidae,"Charadrius vociferus"
Reptilia,Sauria,Tropiduridae,"Microlophus peruvianus"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
,,,
